真实单价总览 · 订阅与 API 统一对比
美元/credits与API三段价统一按97%缓存 / 2.5%输入 / 0.5%输出折算；直接total-token实测不重算
同套餐各模型额度不可相加。Claude Max (9/14+)：2026-09-14起永久额度估算，非当前活动期上限。数据：adopted.csv。
颜色 = 套餐/API 提供方；置信度 [H] 高 / [M] 中 / [L] 低；编号为排序序号，同值依次列出，不代表模型能力排名。
† Kimi：¥199的K3点以K3-256K为主，约84%反推周池×5得14.51亿；K2.7纯样本11.9M/月0.76%得15.68亿；其余档按官方倍率推算；同名档国内外并点，月费/单价按国际版美元标价（$19/$39/$99），¥价为国内实付。OpenCode Go按官方美元池和三段价套统一标准负载换算。
汇率：1 USD = 6.7787 CNY（2026-09-04，中国外汇交易中心中间价，新华社转载）；人民币月费 ÷ 汇率换算美元（Kimi 同名并点档除外，按国际版美元标价）。
汇率来源：https://www.xinhuanet.com/20260904/4c1ce1cbf39d416997cb9c237d6f5024/c.html
序号  套餐                               价格/月            服务模型                    月额度(亿)  $/MTok   置信度
----  ---------------------------------  -----------------  --------------------------  ----------  -------  ------
1     Step Plan Max (¥699)               CNY 699            Step 3.5 Flash              1731.6      0.0006   medium
2     Step Plan Pro (¥199)               CNY 199            Step 3.5 Flash              346.32      0.00085  medium
3     OpenCode Go                        USD 10             Muse Spark 1.3 Contributor  110.294     0.00091  medium
4     OpenCode Go                        USD 10             Muse Spark 1.2 Contributor  110.294     0.00091  medium
5     Step Plan Max (¥699)               CNY 699            Step 3.7 Flash              858.83      0.0012   medium
6     OpenCode Go                        USD 10             MiMo V2.5                   78.782      0.00127  medium
7     OpenCode Go                        USD 10             MiMo V2.6 Flash             78.782      0.00127  medium
8     ChatGPT Pro 20x                    USD 200            GPT 5.6 Luna                1502.22     0.00133  low
9     Step Plan Pro (¥199)               CNY 199            Step 3.7 Flash              171.766     0.00171  medium
10    Step Plan Plus (¥99)               CNY 99             Step 3.5 Flash              69.264      0.00211  medium
11    Command Code GOAT                  USD 10             DeepSeek V4.1 Flash         41.408      0.00241  medium
12    Command Code GOAT                  USD 10             MiMo V2.5                   39.391      0.00254  medium
13    Command Code GOAT                  USD 10             MiMo V2.6 Flash             39.391      0.00254  medium
14    ChatGPT Pro 5x                     USD 100            GPT 5.6 Luna                375.56      0.00266  low
15    ChatGPT Plus                       USD 20             GPT 5.6 Luna                75.11       0.00266  high
16    Command Code GOAT                  USD 10             Muse Spark 1.3 Contributor  36.765      0.00272  medium
17    Command Code GOAT                  USD 10             Muse Spark 1.2 Contributor  36.765      0.00272  medium
18    GLM Coding Pro (v2 ¥149) 闲时      CNY 149            GLM 5.3 Flash               74.92       0.00293  high
19    OpenCode Go                        USD 10             LongCat 2.0                 31.056      0.00322  medium
20    Ollama Pro                         USD 20             DeepSeek V4.1 Flash         62.112      0.00322  medium
21    Ollama Max                         USD 100            DeepSeek V4.1 Flash         310.559     0.00322  medium
22    Step Plan Max (¥699)               CNY 699            Step 5 Preview              283.186     0.00364  medium
23    GLM Coding Pro (v2 ¥149) 中间值    CNY 149            GLM 5.3 Flash               56.19       0.00391  high
24    GLM Coding Max (v2 ¥469) 闲时      CNY 469            GLM 5.3 Flash               174.81      0.00396  high
25    Step Plan Mini (¥49)               CNY 49             Step 3.5 Flash              17.316      0.00417  medium
26    Step Plan Plus (¥99)               CNY 99             Step 3.7 Flash              34.353      0.00425  medium
27    Claude Pro                         USD 20             Claude Sonnet 5             46.95       0.00426  medium
28    Google AI Ultra 20x                USD 199.99         Gemini 3.8 Flash            448.2       0.00446  low
29    Claude Max 20x (9/14+)             USD 200            Claude Sonnet 5             392.5       0.0051   medium
30    Claude Max 5x (9/14+)              USD 100            Claude Sonnet 5             196.25      0.0051   low
31    Step Plan Pro (¥199)               CNY 199            Step 5 Preview              56.637      0.00518  medium
32    Ollama Max                         USD 100            DeepSeek V4 Flash           192.431     0.0052   medium
33    Ollama Pro                         USD 20             DeepSeek V4 Flash           38.486      0.0052   medium
34    GLM Coding Max (v2 ¥469) 中间值    CNY 469            GLM 5.3 Flash               131.11      0.00528  high
35    MiMo Token Plan Max 夜间0.8×       ¥659（国际 $100）  MiMo V2.6 Flash             188.42      0.00531  medium
36    MiMo Token Plan Max 夜间0.8×       ¥659（国际 $100）  MiMo V2.5                   188.42      0.00531  medium
37    Claude Pro                         USD 20             Claude Opus 5.5             36.089      0.00554  low
38    MiMo Token Plan Pro 夜间0.8×       ¥329（国际 $50）   MiMo V2.6 Flash             87.32       0.00573  medium
39    MiMo Token Plan Pro 夜间0.8×       ¥329（国际 $50）   MiMo V2.5                   87.32       0.00573  medium
40    Command Code GOAT                  USD 10             Hy3                         17.348      0.00576  medium
41    GLM Coding Lite (v2 ¥49) 闲时      CNY 49             GLM 5.3 Flash               12.49       0.00579  high
42    GLM Coding Pro (v2 ¥149) 忙时      CNY 149            GLM 5.3 Flash               37.46       0.00587  high
43    MiMo Token Plan Standard 夜间0.8×  ¥99（国际 $16）    MiMo V2.6 Flash             25.28       0.00633  medium
44    MiMo Token Plan Standard 夜间0.8×  ¥99（国际 $16）    MiMo V2.5                   25.28       0.00633  medium
45    MiMo Token Plan Lite 夜间0.8×      ¥39（国际 $6）     MiMo V2.6 Flash             9.42        0.00637  medium
46    MiMo Token Plan Lite 夜间0.8×      ¥39（国际 $6）     MiMo V2.5                   9.42        0.00637  medium
47    OpenCode Go                        USD 10             DeepSeek V4.1 Flash         15.528      0.00644  medium
48    Claude Max 5x (9/14+)              USD 100            Claude Opus 5.5             150.852     0.00663  low
49    Claude Max 20x (9/14+)             USD 200            Claude Opus 5.5             301.7       0.00663  medium
50    MiMo Token Plan Max 日间           ¥659（国际 $100）  MiMo V2.6 Flash             150.74      0.00663  medium
51    MiMo Token Plan Max 日间           ¥659（国际 $100）  MiMo V2.5                   150.74      0.00663  medium
52    OpenCode Go                        USD 10             Hy3                         14.87       0.00672  medium
53    MiMo Token Plan Pro 日间           ¥329（国际 $50）   MiMo V2.6 Flash             69.85       0.00716  medium
54    MiMo Token Plan Pro 日间           ¥329（国际 $50）   MiMo V2.5                   69.85       0.00716  medium
55    OpenCode Go                        USD 10             Qwen3.8 Flash               13.876      0.00721  medium
56    MiMo V2.6 Flash API                按量计费           MiMo V2.6 Flash             -           0.00762  high
57    GLM Coding Lite (v2 ¥49) 中间值    CNY 49             GLM 5.3 Flash               9.36        0.00772  high
58    OpenCode Go                        USD 10             Omen Alpha                  12.739      0.00785  medium
59    MiMo Token Plan Standard 日间      ¥99（国际 $16）    MiMo V2.6 Flash             20.22       0.00791  medium
60    MiMo Token Plan Standard 日间      ¥99（国际 $16）    MiMo V2.5                   20.22       0.00791  medium
61    GLM Coding Max (v2 ¥469) 忙时      CNY 469            GLM 5.3 Flash               87.4        0.00792  high
62    MiMo Token Plan Lite 日间          ¥39（国际 $6）     MiMo V2.6 Flash             7.54        0.00796  medium
63    MiMo Token Plan Lite 日间          ¥39（国际 $6）     MiMo V2.5                   7.54        0.00796  medium
64    ChatGPT Pro 20x                    USD 200            GPT 5.6 Terra               249.552     0.00801  medium
65    Step Plan Mini (¥49)               CNY 49             Step 3.7 Flash              8.588       0.00842  medium
66    Command Code GOAT                  USD 10             GLM 5.3 Flash               11.315      0.00884  medium
67    GLM Coding Pro (v2 ¥149) 闲时      CNY 149            GLM 5.3                     24.72       0.00889  high
68    Google AI Pro                      USD 19.99          Gemini 3.8 Flash            22.41       0.00892  high
69    Google AI Ultra 5x                 USD 99.99          Gemini 3.8 Flash            112.05      0.00892  low
70    GLM Coding Max (v3 ¥1078) 闲时     CNY 1078           GLM 5.3 Flash               174.81      0.0091   high
71    Command Code GOAT                  USD 10             Qwen3.8 27B                 10.972      0.00911  medium
72    Command Code GOAT                  USD 10             MiMo V2.5 Pro               10.685      0.00936  medium
73    Command Code GOAT                  USD 10             MiMo V2.6 Pro               10.685      0.00936  medium
74    OpenCode Go                        USD 10             Qwen3.7 Plus                10.563      0.00947  medium
75    DeepSeek V4.1 Flash API 闲时       按量计费           DeepSeek V4.1 Flash         -           0.00966  high
76    MiniMax Token Plan Ultra           CNY 469            MiniMax M3                  71          0.00974  high
77    MiniMax Token Plan Max             CNY 119            MiniMax M3                  18          0.00975  high
78    Cursor Ultra (Standard)            USD 200            Composer 2.5                199.608     0.01002  medium
79    GLM Coding Pro (v3 ¥538) 闲时      CNY 538            GLM 5.3 Flash               74.92       0.01059  high
80    Claude Pro                         USD 20             Claude Opus 5               18.78       0.01065  high
81    Claude Pro                         USD 20             Claude Opus 4.8             18.78       0.01065  low
82    MiniMax Token Plan Max (Global)    USD 55             MiniMax M3                  51          0.01078  high
83    Command Code GOAT                  USD 10             Qwen3.8 Flash               9.145       0.01093  medium
84    Cursor Pro+ (Standard)             USD 60             Composer 2.5                53.229      0.01127  low
85    GLM Coding Lite (v2 ¥49) 忙时      CNY 49             GLM 5.3 Flash               6.24        0.01158  high
86    Command Code GOAT                  USD 10             Step 3.5 Flash              8.547       0.0117   medium
87    Ollama Max                         USD 100            GLM 5.3 Flash               84.866      0.01178  medium
88    Ollama Pro                         USD 20             GLM 5.3 Flash               16.973      0.01178  medium
89    GLM Coding Pro (v2 ¥149) 中间值    CNY 149            GLM 5.3                     18.54       0.01186  high
90    OpenCode Go                        USD 10             MiniMax M3                  8.368       0.01195  medium
91    OpenCode Go                        USD 10             MiniMax M2.7                8.368       0.01195  medium
92    OpenCode Go                        USD 10             MiniMax M2.5                8.368       0.01195  medium
93    GLM Coding Max (v2 ¥469) 闲时      CNY 469            GLM 5.3                     57.69       0.01199  high
94    MiniMax Token Plan Plus            CNY 49             MiniMax M3                  6           0.01205  high
95    MiniMax Token Plan Plus            CNY 49             MiniMax M2.7                6           0.01205  medium
96    GLM Coding Max (v3 ¥1078) 中间值   CNY 1078           GLM 5.3 Flash               131.11      0.01213  high
97    OpenCode Go                        USD 10             MiMo V2.5 Pro               8.004       0.01249  medium
98    OpenCode Go                        USD 10             MiMo V2.6 Pro               8.004       0.01249  medium
99    MiMo Token Plan Max 夜间0.8×       ¥659（国际 $100）  MiMo V2.6 Pro               79.3        0.01261  medium
100   MiMo Token Plan Max 夜间0.8×       ¥659（国际 $100）  MiMo V2.5 Pro               79.3        0.01261  medium
101   OpenCode Go                        USD 10             Qwen3.6 Plus                7.895       0.01267  medium
102   Claude Max 20x (9/14+)             USD 200            Claude Opus 5               157         0.01274  medium
103   Claude Max 5x (9/14+)              USD 100            Claude Opus 5               78.5        0.01274  medium
104   Claude Max 20x (9/14+)             USD 200            Claude Opus 4.8             157         0.01274  low
105   Step Plan Plus (¥99)               CNY 99             Step 5 Preview              11.327      0.01289  high
106   MiniMax Token Plan Plus (Global)   USD 22             MiniMax M3                  17          0.01294  high
107   MiniMax Token Plan Plus (Global)   USD 22             MiniMax M2.7                17          0.01294  medium
108   MiniMax Token Plan Ultra (Global)  USD 132            MiniMax M3                  98          0.01347  high
109   MiMo Token Plan Pro 夜间0.8×       ¥329（国际 $50）   MiMo V2.6 Pro               36.75       0.01361  medium
110   MiMo Token Plan Pro 夜间0.8×       ¥329（国际 $50）   MiMo V2.5 Pro               36.75       0.01361  medium
111   GLM Coding Lite (v3 ¥118) 闲时     CNY 118            GLM 5.3 Flash               12.49       0.01394  high
112   GLM Coding Pro (v3 ¥538) 中间值    CNY 538            GLM 5.3 Flash               56.19       0.01412  high
113   MiMo Token Plan Standard 夜间0.8×  ¥99（国际 $16）    MiMo V2.6 Pro               10.64       0.01504  medium
114   MiMo Token Plan Standard 夜间0.8×  ¥99（国际 $16）    MiMo V2.5 Pro               10.64       0.01504  medium
